web-scraper-order,web-scraper-start-url,name,typeImage-src,categoryImage-src,basePower,battleEffect,secondaryEffect,effectRate,speedPriority,criticalHitRate,target,makesPhysicalContact,accuracy,zMove,zMovePower,zMoveUpgradeEffect,zMoveUgradeEffectDetailed
"1597854539-1108","https://www.serebii.net//attackdex-sm/withdraw.shtml","Withdraw","/pokedex-bw/type/water.gif","/pokedex-bw/type/other.png","0","The user withdraws its body into its hard shell, raising its Defense stat.","Raises user's Defense one stage.","-- %","0","None","Self","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855382-1525","https://www.serebii.net//attackdex-sm/hornleech.shtml","Horn Leech","/pokedex-bw/type/grass.gif","/pokedex-bw/type/physical.png","75","The user drains the target's energy with its horns. The user's HP is restored by half the damage taken by the target.","User recovers half the damage inflicted.","-- %","0","4.17%","Selected Target","Yes","100","Bloom Doom","140","Bloom Doom","null"
"1597854583-1130","https://www.serebii.net//attackdex-sm/venoshock.shtml","Venoshock","/pokedex-bw/type/poison.gif","/pokedex-bw/type/special.png","65","The user drenches the target in a special poisonous liquid. This move's power is doubled if the target is poisoned.","Doubles damage inflicted if target is Poisoned","-- %","0","4.17%","Selected Target","No","100","Acid Downpour","120","Acid Downpour","null"
"1597854821-1247","https://www.serebii.net//attackdex-sm/smackdown.shtml","Smack Down","/pokedex-bw/type/rock.gif","/pokedex-bw/type/physical.png","50","The user throws a stone or similar projectile to attack an opponent. A flying Pokémon will fall to the ground when it's hit.","Removes target's Ground-type resistance. Damages Pokémon using Fly & Bounce and cancels the move. Damages Pokémon using Sky Drop","100 %","0","4.17%","Selected Target","No","100","Continental Crush","100","Continental Crush","null"
"1597854613-1145","https://www.serebii.net//attackdex-sm/trick.shtml","Trick","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user catches the target off guard and swaps its held item with its own.","Switches items with the opponent","-- %","0","None","Selected Target","No","100","null","null","Speed ↥↥","Boosts Speed by 2 stages"
"1597854674-1175","https://www.serebii.net//attackdex-sm/tailslap.shtml","Tail Slap","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","25","The user attacks by striking the target with its hard tail. It hits the target two to five times in a row.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits","-- %","0","4.17%","Selected Target","Yes","85","Breakneck Blitz","140","Breakneck Blitz","null"
"1597855450-1559","https://www.serebii.net//attackdex-sm/guardswap.shtml","Guard Swap","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.","Switches user's Defense & Special Defense stat increases with opponent.","-- %","0","None","Selected Target","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597854731-1203","https://www.serebii.net//attackdex-sm/strength.shtml","Strength","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","80","The target is slugged with a punch thrown at maximum power.","No effect.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","160","Breakneck Blitz","null"
"1597854936-1304","https://www.serebii.net//attackdex-sm/roost.shtml","Roost","/pokedex-bw/type/flying.gif","/pokedex-bw/type/other.png","0","The user lands and rests its body. It restores the user's HP by up to half of its max HP.","Heals up to 50% of maximum Hit Points. Flying-type Pokémon are no longer Flying-type for the rest of the turn.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855854-1759","https://www.serebii.net//attackdex-sm/boneclub.shtml","Bone Club","/pokedex-bw/type/ground.gif","/pokedex-bw/type/physical.png","65","The user clubs the target with a bone. This may also make the target flinch.","May cause opponent to flinch.","10 %","0","4.17%","Selected Target","No","85","Tectonic Rage","120","Tectonic Rage","null"
"1597855567-1617","https://www.serebii.net//attackdex-sm/firespin.shtml","Fire Spin","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","35","The target becomes trapped within a fierce vortex of fire that rages for four to five turns.","Traps opponent.","100 %","0","4.17%","Selected Target","No","85","Inferno Overdrive","100","Inferno Overdrive","null"
"1597855732-1699","https://www.serebii.net//attackdex-sm/crushgrip.shtml","Crush Grip","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","1","The target is crushed with great force. The more HP the target has left, the greater this move's power.","Increases damage the higher the target's Hit Points","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","190","Breakneck Blitz","null"
"1597854859-1266","https://www.serebii.net//attackdex-sm/silverwind.shtml","Silver Wind","/pokedex-bw/type/bug.gif","/pokedex-bw/type/special.png","60","The target is attacked with powdery scales blown by the wind. This may also raise all the user's stats.","May raise all user's stats one stage.","10 %","0","4.17%","Selected Target","No","100","Savage Spin-Out","120","Savage Spin-Out","null"
"1597855908-1786","https://www.serebii.net//attackdex-sm/aurorabeam.shtml","Aurora Beam","/pokedex-bw/type/ice.gif","/pokedex-bw/type/special.png","65","The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.","May lower opponent's Attack one stage.","10 %","0","4.17%","Selected Target","No","100","Subzero Slammer","120","Subzero Slammer","null"
"1597855638-1652","https://www.serebii.net//attackdex-sm/eerieimpulse.shtml","Eerie Impulse","/pokedex-bw/type/electric.gif","/pokedex-bw/type/other.png","0","The user's body generates an eerie impulse. Exposing the target to it harshly lowers the target's Sp. Atk stat.","Lowers opponent's Special Attack two stages.","-- %","0","None","Selected Target","No","100","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855509-1588","https://www.serebii.net//attackdex-sm/frenzyplant.shtml","Frenzy Plant","/pokedex-bw/type/grass.gif","/pokedex-bw/type/special.png","150","The user slams the target with an enormous tree. The user can't move on the next turn.","User cannot Attack on the next turn.","-- %","0","4.17%","Selected Target","No","90","Bloom Doom","200","Bloom Doom","null"
"1597855218-1443","https://www.serebii.net//attackdex-sm/memento.shtml","Memento","/pokedex-bw/type/dark.gif","/pokedex-bw/type/other.png","0","The user faints when using this move. In return, this harshly lowers the target's Attack and Sp. Atk stats.","Lowers opponent's Attack & Special Attack by two stages. User faints.","-- %","0","None","Selected Target","No","100","null","null","Restores replacement‭s HP","Heals the Hit Points of the Pokémon that switches in after this Pokémon"
"1597855126-1397","https://www.serebii.net//attackdex-sm/ominouswind.shtml","Ominous Wind","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/special.png","60","The user blasts the target with a gust of repulsive wind. This may also raise all the user's stats at once.","May raise all user's stats one stage.","10 %","0","4.17%","Selected Target","No","100","Never-Ending Nightmare","120","Never-Ending Nightmare","null"
"1597854678-1177","https://www.serebii.net//attackdex-sm/tackle.shtml","Tackle","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","40","A physical attack in which the user charges and slams into the target with its whole body.","No effect.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","100","Breakneck Blitz","null"
"1597855025-1347","https://www.serebii.net//attackdex-sm/psyshock.shtml","Psyshock","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","80","The user materializes an odd psychic wave to attack the target. This attack does physical damage.","Inflicts physical damage","-- %","0","4.17%","Selected Target","No","100","Shattered Psyche","160","Shattered Psyche","null"
"1597855904-1784","https://www.serebii.net//attackdex-sm/autotomize.shtml","Autotomize","/pokedex-bw/type/steel.gif","/pokedex-bw/type/other.png","0","The user sheds part of its body to make itself lighter and sharply raise its Speed stat.","Raises user's Speed two stages. Reduces weight by 100kg.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855068-1368","https://www.serebii.net//attackdex-sm/powder.shtml","Powder","/pokedex-bw/type/bug.gif","/pokedex-bw/type/other.png","0","The user covers the target in a combustible powder. If the target uses a Fire-type move, the powder explodes and damages the target.","Damages Pokémon by 25% of max Hit Points if they use a Fire-type move in the turn hit by this Attack","-- %","1","None","Selected Target","No","100","null","null","Special Defense ↥↥","Boosts Special Defense by 2 stages"
"1597855951-1807","https://www.serebii.net//attackdex-sm/afteryou.shtml","After You","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user helps the target and makes it use its move right after the user.","Target moves immediately after the user","-- %","0","None","Selected Target","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855706-1686","https://www.serebii.net//attackdex-sm/diamondstorm.shtml","Diamond Storm","/pokedex-bw/type/rock.gif","/pokedex-bw/type/physical.png","100","The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply raise the user's Defense stat.","May raise user's Defense 2 stages","50 %","0","4.17%","All Adjacent Foes","No","95","Continental Crush","180","Continental Crush","null"
"1597855898-1781","https://www.serebii.net//attackdex-sm/baddybad.shtml","Baddy Bad","/pokedex-bw/type/dark.gif","/pokedex-bw/type/special.png","90","The user acts bad and attacks the target. A wondrous wall of light is put up to weaken the power of the opposing Pokémon’s physical moves.","Halves Attack damage inflicted on the user's side of the field","100 %","0","4.17%","Selected Target","No","100","","","","null"
"1597855248-1458","https://www.serebii.net//attackdex-sm/magicalleaf.shtml","Magical Leaf","/pokedex-bw/type/grass.gif","/pokedex-bw/type/special.png","60","The user scatters curious leaves that chase the target. This attack never misses.","Cannot miss.","-- %","0","4.17%","Selected Target","No","0","Bloom Doom","120","Bloom Doom","null"
"1597855945-1804","https://www.serebii.net//attackdex-sm/airslash.shtml","Air Slash","/pokedex-bw/type/flying.gif","/pokedex-bw/type/special.png","75","The user attacks with a blade of air that slices even the sky. This may also make the target flinch.","May cause opponent to flinch.","30 %","0","4.17%","Selected Target","No","95","Supersonic Skystrike","140","Supersonic Skystrike","null"
"1597854932-1302","https://www.serebii.net//attackdex-sm/round.shtml","Round","/pokedex-bw/type/normal.gif","/pokedex-bw/type/special.png","60","The user attacks the target with a song. Others can join in the Round to increase the power of the attack.","Increases power if other Pokémon used Round this turn","-- %","0","4.17%","Selected Target","No","100","Breakneck Blitz","120","Breakneck Blitz","null"
"1597855368-1518","https://www.serebii.net//attackdex-sm/hyperfang.shtml","Hyper Fang","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","80","The user bites hard on the target with its sharp front fangs. This may also make the target flinch.","May cause opponent to flinch.","10 %","0","4.17%","Selected Target","Yes","90","Breakneck Blitz","160","Breakneck Blitz","null"
"1597855900-1782","https://www.serebii.net//attackdex-sm/baby-dolleyes.shtml","Baby-Doll Eyes","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/other.png","0","The user stares at the target with its baby-doll eyes, which lowers its Attack stat. This move always goes first.","Lowers opponent's Attack stat one stage","-- %","1","None","Selected Target","No","100","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855809-1737","https://www.serebii.net//attackdex-sm/camouflage.shtml","Camouflage","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user's type is changed depending on its environment, such as at water's edge, in grass, or in a cave.","User changes type depending on the location.","-- %","0","None","Self","No","0","null","null","Evasiveness ↥","Boosts Evasion by 1 stage"
"1597854903-1288","https://www.serebii.net//attackdex-sm/searingsunrazesmash.shtml","Searing Sunraze Smash","/pokedex-bw/type/steel.gif","/pokedex-bw/type/physical.png","200","After obtaining Z-Power, the user, Solgaleo, attacks the target with full force. This move can ignore the effect of the target's Ability.","Ignores abilities","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855432-1550","https://www.serebii.net//attackdex-sm/harden.shtml","Harden","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user stiffens all the muscles in its body to raise its Defense stat.","Raises user's Defense one stage.","-- %","0","None","Self","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
